recipient,reasons,bucket_census,tx_count
0x07f067959297767c887dbfa3c72379c66e82a045,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,14676
0x0814d35f25f2ef3dffa4aef4d137558d5e51ed7b,active_legit_candidate,ACTIVE_LEGITIMATE,502
0x084030e9b463f213033b431a3f0a2f5a5bc5b05a,control,GHOST,1
0x0847aa51a1e9317d981ac61224e76c6c9d62618e,control,TEST_RIG,5
0x089127f34ff7c55cec0a92ce4c386b9962ef204b,top_volume,DORMANT,229092
0x089883de0b1af1810ecdf4c1768d98479362b162,top_volume,DORMANT,22230
0x08a844ec367d768286f0fb3fa8dea1b7fab91c8f,top_volume,TEST_RIG,641
0x08c1fa5eb43622ff13becd92600b353b16faad3b,top_volume,LOW_ACTIVITY,12
0x08cf163af044b96788757eecc7a6f0c146bfbda5,control,GHOST,1
0x08e30cb0d74828061509c72c96a1983ffa97518f,control,GHOST,1
0x090103a82c440b275c1f8b34a0c04acd8c93c4dc,control,GHOST,1
0x090364f1fdacc6a193bed8cff3bc51389bd2d818,control,GHOST,1
0x093ba05832403818b17d62fc9d1b4bafbac38469,control,GHOST,1
0x094a6eaaefff4afadaf45e191f702956b406c744,control,GHOST,1
0x0965adfcfbd8886be0bc0aa558a2c0daf1ba54dc,control,GHOST,1
0x09713aa8b09a0023d95b1df2cbdb5a2f70475aa2,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,1400
0x0975564eb362f6b499b2370ab3afe404da5d27cb,top_volume,TEST_RIG,1013
0x09803a5d8ffde28d9bf78109b931a557f3266365,top_volume,LOW_ACTIVITY,81
0x09aea4b2242abc8bb4bb78d537a67a245a7bec64,top_volume,TEST_RIG,91
0x09cbbb451ca48ed511c7fc07ed921d539cde1227,active_legit_candidate,ACTIVE_LEGITIMATE,46
0x09cecd50b421d704f499302e32d3a2142774bad1,top_volume,DORMANT,852
0x09d1e7c85d627102ce07d13bfa9ae1ea2edaa800,control,GHOST,1
0x09e6bb8448c30ddd6b5e8d1f295adca756144a47,control,GHOST,3
0x09f2830636f2edf71f7ca929dcc20cc1f161c897,active_legit_candidate,ACTIVE_LEGITIMATE,196
0x09ff4e7dcbae544511d75821fa575ab26ba17c7f,control,GHOST,1
0x0a0d33a23bcc004880c6956036b2a1838951e707,control,DORMANT,39
0x0a0f19a1d9b5585e7cf6070beb934bb88a24fe21,control,GHOST,1
0x0a209ee7ed4b18660fd2e14849d82d233eb05e70,control,TEST_RIG,7
0x0a2854fbbd9b3ef66f17d47284e7f899b9509330,top_volume,LOW_ACTIVITY,56
0x0a374a7d3d057c6f2910beaa177f808984c18124,active_legit_candidate,ACTIVE_LEGITIMATE,1660
0x0a3f25437d6bd0a3a6db1191b909976158d48d56,control,GHOST,1
0x0a51219d1a80213769ec6d79927604492a86b129,top_volume,DORMANT,45868
0x0a5693f42adb42b8c1434f9e54691b2e36abc63a,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,1670
0x0a5bcdd0d83ca50bb26a1c1b997e6b8b05c1bbab,active_legit_candidate,ACTIVE_LEGITIMATE,57
0x0a7849fc05b5c7a79f297aed70c5a1a7c241cbe9,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,1496
0x0a9af8b00d4d86040e8cf75d48f27aee9fbb80f4,control,TEST_RIG,5
0x0aa9d92361d58b870a6e3ce4bed4b05a9dd658a9,control,GHOST,1
0x0ab4eed2b60b448897ab37cec786affe7eff3dea,control,GHOST,1
0x0ae5c04bb585cc2fed8f2126d788a3c67558df37,top_volume,TEST_RIG,1422
0x0b08ae95c0eb67cbee30c4575f69319e2be2f4f5,control,GHOST,1
0x0b282f1f49a4674769577cd21ed22be29166eb6f,top_volume,DORMANT,176816
0x0b55712de2ce8f93be30d53c03d48ea275cd14d0,top_volume,DORMANT,84222
0x0b6e3594df4faa6d66196d5a3271796ad8bb505d,active_legit_candidate,ACTIVE_LEGITIMATE,228
0x0b797ccb54574ed07d84597761500e1d1d8db32e,top_volume,DORMANT,130
0x0b90d72dbbd4e197accce3cc79e9ba00e5bdc990,control,GHOST,1
0x0ba7b77b96a861ba791eff6bd6fcdf80dce10d9c,top_volume,DORMANT,3816
0x0bb172622db9f247a53c8e2d577aeabf0b81c8ec,active_legit_candidate,ACTIVE_LEGITIMATE,64
0x0bbeff1ee4114976f84d1e1c44150515719fd176,active_legit_candidate,ACTIVE_LEGITIMATE,104
0x0bd943a82673ea7d500c899c7bc548f396c85fdd,control,GHOST,3
0x0bf63f37b0f512839c001548dc66a6a99bfc019b,active_legit_candidate,ACTIVE_LEGITIMATE,2100
0x0bfe360bde5b23e9e6043903da2c6a0eb322356b,top_volume,GHOST,1
0x0c074c36b81291ba17d0c40fb8720a8fd9d99d2c,control,GHOST,1
0x0c0cc0631ead53a6ad4ff93ee0107907b3173361,control,GHOST,1
0x0c10959af44fc2bbcdf2c276db9e26cf9b44b4cb,control,DORMANT,14
0x0c3f266605eb8a4998e26392ecd1120430b50a80,control,GHOST,3
0x0c5e82a2de510e4d34478eb93762acbdf2d0d96d,top_volume,DORMANT,8
0x0cc2cdc0eb992860d6c2a216b1dc0895fd2df82f,active_legit_candidate,ACTIVE_LEGITIMATE,458
0x0cd2c9724f185a029101b4aeacf3f114415c394f,active_legit_candidate,ACTIVE_LEGITIMATE,696
0x0d14514afe504120b34585a92c40c1e0595fd7f0,control,GHOST,1
0x0d26cb6d6216ff4c1076fa4003227af28f736451,top_volume,DORMANT,3716
0x0d480a6628aa948d2cc418e7b3d9adabd8f14c9c,control,TEST_RIG,7
0x0d49dfd2d43f60806c3a0c0a4196d0df60f843f1,top_volume,DORMANT,7116
0x0d4cf2a298c05719e17654c2a7af16ac1f687bb2,top_volume,TEST_RIG,128
0x0d5572e073d986d2ad403e539189511e7663a6b7,active_legit_candidate,ACTIVE_LEGITIMATE,152
0x0d6041f6f8fee3b66efb633716af12c2da331d77,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,535228
0x0d644cfe30f0777ccca6563618d9519d6b8979ac,top_volume,DORMANT,9020
0x0d976803fd5a8347037c7ddbaa282e2050efc231,active_legit_candidate,ACTIVE_LEGITIMATE,133
0x0dbd3801bcc630f45cc6c25085064778f592e7a0,control,GHOST,4
0x0dc65cc48282d926c60178db5d540fdf71d86a95,control,GHOST,1
0x0de74c9ecc4f6ca2ea2347aeb654f2ea03153589,control,TEST_RIG,39
0x0e1fb1ec02da3ceecff96fd179966294dfa2068e,top_volume,TEST_RIG,638
0x0e3b28537dfcb8b15b258dac66464f2b9250438d,control,GHOST,3
0x0e525428d66c111672ce58b1bf649a6d167f36b1,active_legit_candidate,ACTIVE_LEGITIMATE,62
0x0e7724f8a78e61a91de123c86eb39c8dd359b485,control,GHOST,1
0x0e84ddedaae6a779c462c22a59f301ec31b6b808,active_legit_candidate,ACTIVE_LEGITIMATE,13264
0x0e9793a0a058373e46acda362aeaedc837e09aaf,top_volume,DORMANT,78
0x0e9feff079cc97755cdf746e07dd67233228789a,control,GHOST,1
0x0eb55f09611e33c6b3f974c1951706ee11061690,active_legit_candidate,ACTIVE_LEGITIMATE,126
0x0eba5d314f4f5dcb7a094953fa9311a45172dd1b,active_legit_candidate,ACTIVE_LEGITIMATE,124
0x0ec8192627ea2560d966f75227777dabbf8811dc,control,GHOST,2
0x0ecb933a1ec2916769e564efb4773db0bf1ead50,top_volume,DORMANT,3884
0x0ee3662a2f3262c6545d72d5e281d4d26a025393,control,GHOST,1
0x0f0805ddf407458085e90efca59f3ddddcf57bcd,control,TEST_RIG,9
0x0f082b9f8258247f3ac79e78862d1cc95bbc1be6,active_legit_candidate,ACTIVE_LEGITIMATE,36
0x0f12e5192c0ad92106eda0c7ee6fa07ac3a4b439,active_legit_candidate,ACTIVE_LEGITIMATE,22
0x0f158cb810b43699a8a80510eadd57059f14104b,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,1186
0x0f2184e1a8301f86b290fc62225746820b0b36df,top_volume,TEST_RIG,1364
0x0f2aac2d0fa97b70338d08af44be77815ecf3463,control,GHOST,2
0x0f44bc538a42c1a799c4b70eea1739d854e92301,control,GHOST,3
0x0f62731adb85ec9854e6f174e416ac921d608654,control,GHOST,1
0x0f7546edc9dee9959d136194e11df3e3c28101f8,active_legit_candidate,ACTIVE_LEGITIMATE,2334
0x0f7708230c218c99aff8bb60b5585737b93ac1d3,control,TEST_RIG,6
0x0fa1ea90cacde0e0af3e83085b6d6600866de492,control,TEST_RIG,6
0x0fa6cacebc26c792000e72b28dfea4ad82d8ac81,active_legit_candidate,ACTIVE_LEGITIMATE,60
0x0fdb1d8e9fbae0f44dee71ce8f612bb9b260b26d,control,TEST_RIG,11
0x0fe812a6ba666284e0c414646e694a53f1409393,top_volume,DORMANT,727444
0x0ff5a6ecef783bba35463ec2f8403b9b5e9e7c86,active_legit_candidate,ACTIVE_LEGITIMATE,202
0x101cd32b9beee93845ead7bc604a5f1873330acf,top_volume,DORMANT,11612
0x1035e11e861aab9fa443491bfeeb0b3152c7a9f3,active_legit_candidate,ACTIVE_LEGITIMATE,326
0x10365c6946953e590a4e949b9111279123b25b2b,control,GHOST,1
0x103dcc3807045f7f3e1d92f574fdd23a9e8e2c20,control,TEST_RIG,25
0x106703f20f40cb35cec6e01fab0e87649dd030b7,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,2370
0x10875c46c5e7a45b062f8fed17694799144d5008,active_legit_candidate,ACTIVE_LEGITIMATE,32
0x1088cfcc078a93bad0cef48bc767fc639f5badf1,active_legit_candidate,ACTIVE_LEGITIMATE,20
0x108bcd8a07c3fdfca3aa500784a8573123a1029f,active_legit_candidate,ACTIVE_LEGITIMATE,5560
0x10a3fc1842ab9bc5968a730a2c6acda1d2ea2fe1,active_legit_candidate,ACTIVE_LEGITIMATE,20
0x10b6c0f8ab684816c16b10200f0fcbc83080f33c,control,GHOST,1
0x10c140022927429afb5f7779f4bc5495da8c1e24,top_volume,DUPLICATE,314153
0x10c5e2895d3d554a41495f38f4b2b6316fde528f,control,GHOST,3
0x10d1ef50c48531b827945770b53dd70d3185ad4a,control,GHOST,1
0x10d8908d2bc083d5d3efb1cdb9bddcd78a615370,control,GHOST,2
0x10e3562d4eba25362f439cebf27112301b998067,control,GHOST,1
0x10f20a565829426da368acc407a7213d6341413b,control,GHOST,2
0x110cdbba7fe6434ec4ce3464cc523942ad6fb784,active_legit_candidate,ACTIVE_LEGITIMATE,6014
0x112e000f25d0def0360cf0cad50970d39bc32b2e,top_volume,DORMANT,11818
0x1145201a77ef31665fb53c4ea43a44d7cbae3e5b,active_legit_candidate,ACTIVE_LEGITIMATE,20
0x114f26b15f984262e608b0ecf338d027dbf29691,control,GHOST,1
0x118fae85e5e44a92a1a2b3ed1f16df3ecab4ce58,active_legit_candidate,ACTIVE_LEGITIMATE,52
0x11b8d9a6004b2a0bc49b724b310914859130b95a,control,GHOST,1
0x11be2c599c6fbc7e597cd998a5ae830b211549e3,control,GHOST,1
0x11f0f7ded99dc92c4d02c680790209868ab7876d,control,TEST_RIG,66
0x11f591c3496c0632e7b173184f5bc71dc941125d,active_legit_candidate,ACTIVE_LEGITIMATE,122
0x11f94fd0e3b20faf5dedc764d2b3f40dd66f35f2,active_legit_candidate,ACTIVE_LEGITIMATE,33
0x1223d566f05ea54e5854434c4552c9f5c2259e0f,top_volume,DORMANT,1962
0x123048cd2d23c9a7444020c0e2f63825efc5441f,top_volume,DORMANT,12645
0x1234567890123456789012345678901234567890,active_legit_candidate,ACTIVE_LEGITIMATE,189
0x127462e296fac1a7f5cf33ba57bb2f0fff5cd0b6,active_legit_candidate,ACTIVE_LEGITIMATE,1707
0x12d72ad2d0a35e75d76f8bc2c509918ac04d170b,active_legit_candidate,ACTIVE_LEGITIMATE,1146
0x1304ec1a8945365e43a5c18a734065f107b417ca,active_legit_candidate,ACTIVE_LEGITIMATE,927
0x130623c5128902c67f04f332a9695e352688c777,control,GHOST,3
0x1343c91c3f13d1b813cb44cd20e4b56a449b4abb,active_legit_candidate,ACTIVE_LEGITIMATE,2005
0x1349d9f15f7fedf0db8f029271a4377573637ca2,top_volume,DORMANT,58
0x134fefd8142f85bd3e83f5260b9d8965d1007cd7,top_volume,DORMANT,6780
0x1357bef96ec515d250137d7eb712f0395eb5142d,active_legit_candidate,ACTIVE_LEGITIMATE,1738
0x13580b9c6a9afbfe4c739e74136c1da174db9891,active_legit_candidate,ACTIVE_LEGITIMATE,100
0x135baaef9c05fcb4a68a8667d3c048a6b60ac1c4,control,GHOST,1
0x1363c7ff51ccce10258a7f7bddd63baab6aaf678,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,4272
0x136431c4f313d43f4ca6542a91bf43bb11c44533,top_volume,TEST_RIG,125
